programme,acronym,project_title,abstract,researcher,host_institution,country,region,project_number,call,instrument,research_domain,panel,call_year,start_date,end_date,amount_granted,cordis_link,snsf_institution
Horizon 2020,IBAF,Inhibiting BAF to Improve Gene Delivery,"Safe and efficient delivery of nucleic acids to tissues and cells is a shared challenge in the clinical translation of gene therapy and gene editing. At the intracellular level, DNA delivery is hindered by endo/lysosomal sequestration, inefficient transport into the nucleus and a retention mechanism mediated by the barrier-to-autointegration factor (BAF) protein that detects, clusters and locks away intruding double-stranded DNA in membrane cages. The first two of these intracellular obstacles are well-known bottlenecks and are being addressed by many laboratories. However, preliminary in vitro data suggest the detrimental impact of BAF’s mechanism on transgene expression is underestimated. We hypothesize that transiently suppressing BAF or one of its regulating factors will increase the cytosolic availability and mobility of transfected DNA, facilitating its transport to the nucleus and ultimately boosting transfection efficiency. We will tackle this rather uninvestigated mechanism through two parallel strategies: i) identifying novel small-molecule inhibitors of BAF or its regulators via high-throughput screening of chemical libraries, and ii) producing a recombinant kinase that phosphorylates BAF in situ and thus supresses its DNA-clustering function. The BAF suppressors will be co-delivered to cells with rationally-designed nucleoprotein nanoparticles consisting of a reporter plasmid and a dual-function fusion protein to facilitate endocytosis and endosomal escape. The combined transfection-enhancing effect of the BAF suppressors and the nanoparticles will be extensively characterized in vitro, and in vivo proof-of-concept will be obtained in mice. Besides expanding our fundamental knowledge on this unexplored DNA retention mechanism, the project will provide powerful transfection enhancers that can boost already-existing gene delivery platforms (viral and non-viral), so that these can reach their full potential for gene therapy and gene-editing applications.",Jean-Christophe Leroux,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,884505,ERC-2019-ADG,Advanced Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2019,44136,45961,2390625,https://cordis.europa.eu/project/id/884505,ETH Zurich
Horizon 2020,IMPACT,High-Dimensional single cell mapping of inflammatory disease signatures in monozygotic twins,"Multiple Sclerosis (MS) is a chronic inflammatory disease, where immune cell invasion into the central nervous system causes immunopathology and neurological deficit. Although disease-modifying therapies dramatically reduce disease activity, they hold the potential for severe adverse effects while long-term disability prospects remain poor. Moreover, there is to date no biomarker for monitoring the disease activity and to guide therapy decisions. I propose that the key to identifying such biomarkers is to combine single-cell mapping of leukocytes across well-curated patient cohorts with unbiased machine-learning based data interrogation. Using such an approach, we have already delineated a disease signature in a helper T cell population specific for MS. However, the immune compartment of cross-sectional cohorts is influenced by the individual genetic make up, which masks disease-specific signals and hinders a more precise characterisation of involved immune cell populations. To eliminate genetic influences, I here propose in aim 1 to interrogate the immune compartment of a unique cohort of monozygotic twin pairs -discordant for MS- and deeply analyse peripheral blood lymphocytes by single-cell mass cytometry, combined TcR and single cell sequencing, and epigenetic profiling.  aim 2 to develop representation-learning methods to account for the paired genetics of twins or longitudinal samples and to include clinical covariates into the high-dimensional data set. aim 3 to use well-defined patient samples of MS-like disorders (MS-Mimics) and longitudinal samples of patients undergoing disease-modifying therapy (e.g. B cell depletion, autologous stem cell transplant) using single-cell mass cytometry. Ultimately, the goal is to reduce the dimensionality of disease signature(s) towards a clinically translatable low-dimensional biomarker that could be identified and quantified by routine methods available in the clinics.",Burkhard Becher,University of Zurich,Switzerland,-,882424,ERC-2019-ADG,Advanced Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2019,44197,46387,2492221,https://cordis.europa.eu/project/id/882424,University of Zurich
Horizon 2020,TETHER,Targeting the essentialome of radiotherapy-resistant cancer,"More than 50% of the cancer patients undergo irradiation as part of their cancer treatment. Although radiotherapy (RT) significantly contributes to cancer cure, local therapy resistance and the subsequent emergence of distant metastasis remain major obstacles for its success. The molecular mechanisms underlying tumor cell-intrinsic RT resistance are ill-defined. It is therefore crucial to better define these mechanisms and identify new vulnerabilities of RT-resistant tumors in order to decrease the current annual cancer mortality of >1.3 million persons in EU member states alone.

In the TETHER project, I will address the problem of RT resistance by synergizing the power of genetic essentiality analyses with unique mouse models and organoids that we have established. We recently found that members of the shieldin and CST complexes are essential for tumor cells to survive irradiation, while causing PARP inhibitor resistance when lost in BRCA1-deficient tumors. Based on this unexpected finding, I have started a new line of research to dissect the RT ""essentialome"". As I show with the discovery and functional characterization of ERCC6l2 as a novel DNA repair factor in this network, the technology we have in place is perfectly suited to tackle this question. In addition, we will apply distinct CRISPR/Cas9-based tests to map the functional interactome of genes that are essential for RT resistance. 

To follow the plasticity and RT escape of tumor cells in vivo, we have also developed innovative model systems. Similar to the situation in cancer patients, we observe that residual cancer cells in our mouse models escape the deadly effects of RT by local resistance or metastasis formation. Thus, these models provide a unique opportunity to explore and target RT escape mechanisms. I am convinced that the combination of these state-of-the-art approaches will yield highly useful information for designing individualized approaches to improve RT response in cancer patients.
",Sven Rottenberg,University of Bern,Switzerland,-,883877,ERC-2019-ADG,Advanced Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2019,44470,46295,2499875,https://cordis.europa.eu/project/id/883877,University of Berne
Horizon 2020,TIL-FIT,Increasing the fitness of tumor-infiltrating T cells for cellular immunotherapy,"Adoptive T cell therapies (ACTs) are emerging as a promising strategy to treat cancer. Tumor-infiltrating lymphocytes (TILs) are expanded ex vivo, selected for recognition of neoantigens, further expanded and then infused back into patients. This procedure requires extensive culturing and expansion of TILs during which many T cell clonotypes are lost. As tumor-reactive TILs are often exhausted and tend to be overgrown by functional, non-specific T cells in culture, the chance to identify potent tumor-reactive T cells dramatically decreases. Moreover, extensive expansion of T cells diminishes their anti-tumor activity and persistence in the body after adoptive transfers. Thus, improving the fitness of T cells is crucial to increase the success rate of ACTs and make this therapy accessible to a broad spectrum of cancer patients. Our first aim is to increase the fitness of T cells by designing metabolic and pharmacological interventions based on proteomic profiles of TILs from patients with liver cancer. Second, we will use machine-learning algorithms for the extraction of signatures to predict whether TILs grow well in culture, require and respond to metabolic interventions, or cannot be revitalized and do not grow at all. To deal with non-growing T cells, we aim at establishing a microfluidics-based workflow to graft the entire T cell receptor (TCR) repertoire from thousands of non-growing TILs onto fast growing Jurkat cells. After selecting Jurkat cells that recognize neoantigens, their TCRs will be expressed on naïve T cells obtained from the patient’s blood that are fit and suitable for ACT. This project will contribute to a better understanding of the T cell response to liver cancer and help increasing the success of personalized ACTs for solid tumors.",Roger Geiger,Institute for Research in Biomedicine,Switzerland,-,803150,ERC-2018-STG,Starting Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2018,43466,45291,1406250,https://cordis.europa.eu/project/id/803150,Institute for Research in Biomedicine
Horizon 2020,TALE,Therapeutic Allele Engineering: A novel technology for cell therapy,"We are currently witnessing a revolution in cell therapies that are routed in decades of basic research in genetics, cell biology and immunology. A deep understanding of mammalian, and in particular immune, cells is currently being translated into highly efficient cell-based therapeutics. Technologic breakthroughs in genetic and genome engineering are further fueling the generation of customized, high precision therapies that are based on cells as “smart drugs”. For instance, reprogramming immune killer cells to recognize B cell leukemias resulted in unprecedented clinical responses in treatment-resistant and relapsed patients. However, currently only very few, highly selected patients benefit from these developments. A fundamental problem of today’s cell therapies is that transferred cells cannot be distinguished from host cells. We have developed “allele engineering”, a new technology that solves this challenge. Here, we outline how allele engineering will improve the safety and efficacy of cell therapies. We will 1) generate a non-viral, DNA-free safety/shielding switch 2) develop a radically new curative approach to acute myeloid leukemia 3) rationally design a safe allele engineering solution for human therapy and 4) use allele engineering as a curative therapy of scurfy syndrome, a lethal monogenic autoimmune disease. Allele engineering enables completely new treatment strategies and can be applied to any surface protein. Therefore, I anticipate that the results will have a major impact on the field.",Lukas Jeker,University of Basel,Switzerland,-,818806,ERC-2018-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2018,43617,45808,2397082,https://cordis.europa.eu/project/id/818806,University of Basel
Horizon 2020,CAN-IT-BARRIERS,Disruption of systemic and microenvironmental barriers  to immunotherapy of antigenic tumors,"The frontier in cancer therapy of orchestrating the immune system to attack tumors is producing unprecedented survival benefit in some patients. The corollary is lack of efficacy both in ostensibly responsive tumor types as well as others that are mostly non-responsive. The basis lies in pre-existing and adaptive resistance mechanisms that circumvent induction of tumor-reactive cytotoxic T cells (CTLs) capable of infiltrating solid tumors and eliminating cancer cells. A priori, cancers induced by expression of human papillomavirus oncogenes should be responsive to immunotherapy: these cancers encode immunogenic neo-antigens – the oncoproteins E6/7 – necessary for their manifestation. Rather, such tumors are poorly responsive to immunotherapies. Results from my lab and others using mouse models of HPV-induced cancer have established an actionable hypothesis:  during tumorigenesis, such tumors erect multiple barriers to the induction, infiltration, and killing of cancer cells by tumor antigen-reactive CTLs. These include overarching systemic antigen-nonspecific immunosuppression mediated by expanded populations of myeloid cells in spleen and lymph nodes, complemented by immune response-impairing barriers operative in the tumor microenvironment. A spectrum of models will probe these barriers, genetically and pharmacologically, establishing their functional importance, alone and in concert. A major focus will be on how oncogene-expressing keratinocytes elicit a marked expansion of immunosuppressive myeloid cells in spleen and lymph nodes, and how these myeloid cells in turn inhibit development and activation of CD8 T cells and antigen-presenting dendritic cells.  Then we’ll assess the therapeutic potential of barrier-breaking strategies combined with immuno-stimulatory modalities.  This project will deliver new knowledge about multi-faceted barriers to immunotherapy in these refractory cancers, helping lay the groundwork for efficacious immunotherapy.",Douglas Hanahan,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,-,834947,ERC-2018-ADG,Advanced Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2018,43831,45657,2500000,https://cordis.europa.eu/project/id/834947,EPF Lausanne
Horizon 2020,CLLCLONE,"Harnessing clonal evolution in chronic lymphocytic leukemia
","Chronic lymphocytic leukemia (CLL), the most common leukemia in adults, is addicted of interactions with the microenvironment. The B-cell receptor (BCR) is one of the most important surface molecules that CLL cells use to gain oncogenic signals from the microenvironment. The critical role of BCR signaling for the pathogenesis of CLL is supported by the therapeutic success of ibrutinib, a targeted agent that disrupts the BCR pathway. Beside microenvironment-promoted oncogenic signals, the biology of CLL is also driven by molecular lesions and clonal evolution, that mark CLL progression and treatment resistance. The interconnection between microenvironment-promoted oncogenic signals and clonal evolution has been postulated in CLL but never proven because of the lack of suitable ex vivo models. Ibrutinib allows the unprecedented opportunity of assessing the contribution of cell signaling to cancer clonal evolution directly in vivo in patients. The project working hypothesis is that mutation- and selection-driven clonal evolution is promoted by microenvironment-induced signals, including those propagated from the BCR. According to this hypothesis: i) BCR signaling inhibition due to ibrutinib should stop clonal evolution; while ii) acquisition of by-pass mechanisms that keep ongoing signaling should promote mutation and selection despite BCR inhibition, thus favoring CLL clonal evolution and ibrutinib resistance. In this scenario, the combination of ibrutinib with drugs that overcome by-pass mechanisms could prevent clonal evolution, thus improving treatment efficacy and patient outcome. In order to address our working hypothesis, we will take advantage of clinical trial and co-clinical trial samples to monitor signaling and clonal evolution under ibrutinib and ibrutinib-based combination treatments.",Davide Rossi,Foundation for the Research and Cure of Lymphoma in Ticino,Switzerland,-,772051,ERC-2017-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2017,43282,45107,1940000,https://cordis.europa.eu/project/id/772051,Foundation for the Research and Cure of Lymphoma in Ticino
Horizon 2020,CARDEVOL,Evolutionary consequences of novel plant defences,"Plant chemical defences play a central role in mediating interactions between plants and their enemies. Phytochemical diversity may be advantageous to reduce herbivore pressure, and plants commonly produce vast numbers of chemicals. However, the diversity of functional classes of defensive chemicals is often more limited and subject to strong phylogenetic constraints. Such functional conservatism may accelerate the evolution of tolerance in specialized herbivores, resulting in plant-herbivore systems dominated by specialists resistant to host plant defences. This presents major challenges for the study of phytochemically-mediated coevolution, as most systems lack the early stages of coevolutionary interactions that are crucially important to predict evolutionary trajectories. Occasionally however, the gain of functionally novel traits allows plants to escape their coevolved herbivores. The genus Erysimum (Brassicaceae) has gained functionally novel cardenolides in addition to ancestral glucosinolate defences, allowing it to escape several glucosinolate-adapted specialists. Making use of the unique natural and emerging molecular resources in this system, CARDEVOL will comprehensively evaluate the ecological, physiological, and evolutionary consequences of novel defences for the plant and its herbivores. CARDEVOL has four main objectives: 1) to characterize the full extent of natural variation in defence of a widespread Erysimum species and to identify environmental drivers; 2) to manipulate both defences and evaluate their contributions to plant fitness in the field; 3) to evaluate tolerance and resistance mechanisms of a community of non-adapted specialist herbivores towards the new defence; and 4), to evolve herbivores under artificial selection for increased resistance. CARDEVOL thus aims at pushing the boundaries of chemical ecology and transforming the field by elucidating the causes and consequences of phytochemical diversification involving gains of function.",Tobias Züst,University of Zurich,Switzerland,-,950319,ERC-2020-STG,Starting Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2020,44228,46053,1500000,https://cordis.europa.eu/project/id/950319,University of Zurich
Horizon 2020,CryoET4Diversity,Cryo-electron tomography for microbial ecology and evolution,"The cryo-electron microscopy (cryoEM) modalities of single particle analysis and cryo-electron tomography (cryoET) have revolutionized the fields of structural biology and cellular biochemistry, and they enabled groundbreaking insights into primarily hypothesis-driven, mechanistic problems, using well-established model systems. High-throughput sequencing technologies have revolutionized microbial community studies and changed our view of the diversity of life. In order to understand how microbes function and interact with other cells, however, sequencing- and cultivation-based techniques must be complemented with experiments that elucidate phenotypes in situ at the single-cell level. 

In Aim 1, we will develop cryoET methods for their application to problems in microbial ecology. We will resolve technical challenges of cryoET application to complex environmental samples, including aspects of sample preparation, data collection, data analysis and data integration.

In Aim 2, we will apply the new methods to outstanding biological questions to advance our understanding of cell-cell interactions. We will study the role of unique bacterial tubulins in a bacterium-ciliate symbiosis, aspects of multicellularity in magnetotactic bacteria, and the diversity and roles of bacterial contractile injection systems.

This project resides at the interface of structural biology/biophysics and environmental/evolutionary biology. We will leverage the power of cryoET to generate three-dimensional images of cells in a frozen-hydrated life-like state, and at macromolecular resolution. The complementation with high-throughput and single-cell approaches from microbial ecology will allow us to make progress on specific biological questions. CryoET offers a new “sense” for the analysis of complex environmental samples. Our efforts will establish cryoET as a discovery tool that enables us to conceive how genetic variations manifest in structural and functional diversity.",Martin Pilhofer,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,101000232,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2020,44562,46387,1996102,https://cordis.europa.eu/project/id/101000232,ETH Zurich
Horizon 2020,ECOSTRAT,Interrogating the diversity of gut colonization strategies in multidrug-resistant E. coli to deduce robust competitive exclusion-based treatments,"The rise of multidrug-resistant bacteria limits the options to treat critically ill patients.  In 2015, Escherichia coli producing Extended Spectrum β-Lactamases (ESBL) were the leading cause of death attributable to antibiotic resistant bacteria in Europe. The failure to address these infections using standard antibiotherapy calls for better understanding of how these bacteria evolve in order to develop new treatments.
Presence of resistance and virulence genes correlates with high prevalence in ESBL clones. Since the intestinal tract of mammals represents a major ecological niche for E. coli, gut colonization ability must have predisposed certain clones to evolutionary success during the antibiotic era. In particular, competition against the gut microbiota should select for colonization factors that predate the acquisition of resistance.
To test this hypothesis, we will compare strategies for gut colonization in ESBL clones of different prevalence in absence of antibiotics. Using mice, we will be able to modulate selective pressures exerted by the intestinal microbiota. We will compare gut colonization factors in ESBL clones by performing parallel high-throughput genetic screening in conventional mice (aim 1). We will analyze adaptability and the stability of resistance and virulence genes during long-term colonization (aim 2). Subsequent competitions in gnotobiotic mice harboring permissive microbiota will allow us to deduce functions needed for colonization in the presence of a competitive microbiota. In aim 3, we will measure the impact of competitors transmitted from cohabitant to infected mice on the duration of ESBL E. coli carriage and assess potential synergies with the adaptive immunity in vaccinated hosts.
Overall, we will unravel with unprecedented depth the general principles of intestinal colonization in ESBL E. coli, shed new light on the global success of prevalent clones and conceptualize robust antibiotic-free competition-based treatments.
",Mederic Diard,University of Basel,Switzerland,-,101002643,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2020,44562,46387,1993191,https://cordis.europa.eu/project/id/101002643,University of Basel
Horizon 2020,MyGardenOfTrees,A range-wide transplant experiment using participatory science and genomic prediction to assess local adaptation in forest trees,"How organisms adapt to their environments is the most fundamental question in evolutionary biology and is of utmost importance given climate change threats. Identifying key traits involved in adaptations and understanding how they interact with each other, and with the environment, is a particularly urgent task for foundation and resource-production species, such as forest trees. Existing experiments assessing local adaptation lack scalability and predictability in natural environments, especially at the species range margins. Landscape genomics studies could reveal adaptive loci across environmental gradients, but they are hindered by the assumptions of a neutral model and the highly polygenic nature of most traits. To address these shortcomings, I will conduct a species range-wide transplant experiment using participatory science and genomics to (i) reveal major patterns and drivers of adaptation and (ii) to build a predictive model for selecting optimal seed sources for a given location that accounts for gene-environment interactions and demography. I will develop a participatory network of foresters as well as ordinary citizens, who will establish a large number (>2500) of micro gardens (4 to 36 m2). Seeds source populations of Fagus sylvatica and Abies alba, and their sister species, will be selected from across their ranges. To evaluate plant performance in novel climate conditions, garden locations will also cover locations beyond the species' current distribution range. Early survival and growth traits, which are under the highest selection pressure in trees, will be monitored and analyzed herein. An unprecedented nearly full factorial design transplant data set will be obtained using a genomic prediction (GP) model that exploits the genetic similarity between populations and the environmental similarity between garden locations. Finally, I will implement the GP model for forest managers to aid assisted migration decisions with evoluti",Katalin Csilléry,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",Switzerland,-,101003296,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2020,44348,46538,1999999.64,https://cordis.europa.eu/project/id/101003296,"Swiss Federal Institute for Forest, Snow and Landscape Research "
Horizon 2020,PhyCogy,From Foundations of Phylodynamics to New Applications in Cell Biology,"How did the current biodiversity emerge? How does a single fertilised egg develop into a functioning organism? Which factors govern the spread of a pathogen during an epidemic? The answers to these questions depend on the underlying population dynamic processes, i.e. the replication and change of individuals. I will establish fundamental rules of population dynamic processes within the project PhyCogy.

I hypothesize that applying statistical tools to phylogenetic trees uncovers these fundamental rules. Such statistical phylodynamic inference is possible since trees display replication events together with the genotypes and phenotypes of individuals. However, the phylodynamic technique has only been widely applied in the disciplines of macroevolution and epidemiology.

In Part I of the PhyCogy project, I will lay generalizable mathematical, statistical, and computational foundations for phylodynamics. In particular, I will formulate, explore, and apply novel phylodynamic models that are appropriate for neutral as well as selective or developmental processes. I will then investigate whether the newly proposed phylodynamic models allow us to reconcile competing theories within macroevolution and real-time epidemiology.

In Part II, the proposed phylodynamic models are then used to investigate the development of multicellular organisms. I will quantify brain development based on human stem-cell derived organoids as well as zebrafish using single cell data obtained both via CRISPR-Cas9-based lineage tracing and transcriptome sequencing. 

The project PhyCogy establishes a phylodynamic foundation, quantifying core population dynamic processes in macroevolution, epidemiology, and development. Importantly, the generalizability of the framework allows for future application across biological scales, leading to the rules of population dynamic processes in disciplines as diverse as microbiology, virology, ecology, immunology, or cancer.",Tanja Stadler,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,101001077,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2020,44348,46173,1999540,https://cordis.europa.eu/project/id/101001077,ETH Zurich
Horizon 2020,ECOLBEH,The Ecology of Collective Behaviour,"The evolutionary transition from solitary to group living has fundamentally changed how organisms interact with their environment. However, to reap the rewards of group living, from collective intelligence to predator avoidance, group members must maintain cohesion by making collective decisions. Theory suggests that individuals’ ability to influence collective decisions could be determined by a range of factors, including their state, social role, relationships with other group members, the composition of their social group, and the physical environment. Although these factors could all interact, most empirical studies have investigated them in isolation. The aim of this project is to take a ‘whole-system’ approach by quantifying (1) how individual-level factors determine leadership, (2) how movement decisions are modulated by long-term social and genetic relationships among group members, and (3) whether the mechanisms by which groups reach consensus are resilient to rapid environmental change. This research program will add unprecedented ecological validity and replication to the field of collective decision making. I will leverage state-of-the-art technology and develop novel methods to simultaneously collect and analyse multi-scale data in a wild population of highly social birds. These data include the movement of individuals within and between groups (high-resolution GPS), social interactions (direct observations), kinship (whole-genome sequencing), physiology (heart rate), and environmental conditions (drone-based mapping). The analytical methods I will develop (e.g. multi-layered dynamic social network analysis) will provide new tools for the research community, while integrating these unique data across replicated groups and over multiple generations, the project will bring new depth to the field. This depth is essential to address the questions that are central to our understanding of social behaviour in mobile animal groups, including humans.",Damien Farine,University of Zurich,Switzerland,-,850859,ERC-2019-STG,Starting Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2019,43831,45838,1495119,https://cordis.europa.eu/project/id/850859,University of Zurich
Horizon 2020,No Sex No Conflict,Evolutionary Consequences of Arrested Genomic Conflict in Asexual Species,"Genomic conflicts are major drivers of evolutionary innovation and play an increasingly recognized role in human disease. Intra-genomic conflicts arise because self-promoting elements such as driving centromeres or transposable elements (TEs) can spread in a population without increasing the fitness of their carriers. Inter-genomic conflicts arise when genes have opposite fitness effects in different carriers, as is the case for genes underlying traits with distinct optimal values in males and females. Here I propose to use asexual species as a novel system to studying intra- and inter-genomic conflicts. Because there is no recombination or segregation under asexual reproduction, intra-genomic conflict disappears as the interests of all genetic elements become aligned with those of their host. This allows us to test the predictions that intra-genomic conflict drives the evolution of TE virulence, centromeres, and centromere-binding proteins. Furthermore, because asexual species are comprised of only females, male phenotypes are no longer under selection and sexual conflict over optimal trait values therefore disappears. This proposal leverages the replicated loss of conflicts in independently evolved asexual lineages of Timema stick insects to identify conflict driven aspects of genomic and phenotypic evolution in sexual species. Because Timema have an XX:XO sex determination system, males can be recovered from asexual lineages via X-chromosome losses. This allows for the study of male reproductive traits, sexual dimorphism and sex-biased gene expression in species where selection has been acting solely on females for prolonged time periods, and for the identification of traits and biological processes subject to sexual conflict. By combining phenotypic, experimental and next-generation sequencing approaches, we will generate a cohesive understanding of how intra- and inter-genomic conflict shape phenotype and genome evolution.",Tanja Schwander,University of Lausanne,Switzerland,-,864672,ERC-2019-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2019,43922,45930,1989769,https://cordis.europa.eu/project/id/864672,University of Lausanne
Horizon 2020,ECOEVODRTB,Linking within-host and between-host evolution of multidrug-resistant Mycobacterium tuberculosis,"Mycobacterium tuberculosis (Mtb), the etiologic agent of tuberculosis (TB), is the main cause of human deaths due to infection in general, and to antimicrobial resistance in particular. Little is known on the within-host evolution of Mtb. Theory predicts that in chronic infections like TB, short-sighted evolution operates in the light of a trade-off between virulence and transmission. This trade-off is particularly relevant in the context of drug resistance, given the fitness costs of resistance. However, the role of short-sighted evolution in TB has never been explored empirically. Theory and model systems further predict that phenotypic drug tolerance facilitates the emergence of drug resistance, but the relevance of phenotypic drug tolerance for drug resistance evolution in the clinic has not been established for TB or any other bacterial disease. To address these and related questions, I propose to build on my recent work on the transmission of drug-resistant Mtb with a new focus on the within-patient evolution of drug-resistant Mtb and its link to between-patient evolution during transmission.
Specifically, I shall:
1) Define the genomic characteristics and evolutionary forces shaping multidrug-resistant Mtb populations in individual patients over time and across different body compartments;
2) Compare the genomic and phenotypic properties of multidrug-resistant Mtb populations in individual patients to those circulating within the corresponding patient population;
3) Determine the effect of suboptimal patient treatment and phenotypic drug tolerance on drug resistance evolution in Mtb inside patients.
By combining population genomics of Mtb sampled sequentially and from surgical specimens with experimental evolution and phenotypic characterization of clinical and experimentally evolved strains, this project will generate new insights relevant to both basic science and global public health.",Sebastien Gagneux,Swiss Tropical and Public Health Institute,Switzerland,-,883582,ERC-2019-ADG,Advanced Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2019,44044,46053,2500000,https://cordis.europa.eu/project/id/883582,Schweizerisches Tropen- und Public Health-Institut
Horizon 2020,SYMBIOSES,Novel Symbioses,"The introduction of new functionalities into cells is a challenge, but it offers tremendous opportunities. While some traits may be acquired through lateral gene transfer and be immediately operational, others are complex and require comprehensive rewiring of the host cell due to lack of orthogonality. A powerful strategy used by cells to acquire new properties is the incorporation of other dedicated cells as endosymbionts that may eventually become organelles in the course of evolution, the most prominent example being the origin of the mitochondrion and chloroplast, both of which transformed life as we know it. SYMBIOSES is an interdisciplinary project that will explore endosymbioses in an experimental approach to introduce metabolic traits as cellular compartments. In the first phase of the project, we will (i) design novel cell-in-cell merger couples composed of a unicellular eukaryote as the host and a prokaryote as the designated endosymbiont and use modelling to optimize the metabolic pre-requisites for cooperation and ultimately endosymbioses, (ii) establish cooperating co-cultures of cells that depend on each other metabolically, and (iii) develop nanotechnology approaches to incorporate cells into other cells. In the second phase of the project, we will deliver cells into cells to establish endosymbioses as operating units. We will then optimize endosymbioses by re-engineering and experimental evolution. The approach will unite desired traits consisting of core metabolic processes with a focus on biological nitrogen and carbon fixation. SYMBIOSES will establish know-how and concepts for the introduction of novel compartmentalized functions into organisms and put endosymbioses and ultimately organellogenesis to the test.",Julia Vorholt-Zambelli,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,883077,ERC-2019-ADG,Advanced Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2019,44197,46022,2500000,https://cordis.europa.eu/project/id/883077,ETH Zurich
Horizon 2020,FIT2GO,A toolbox for fitness landscapes in evolution,"A major challenge in evolutionary biology is to quantify the processes and mechanisms by which populations adapt to new environments. In particular, the role of epistasis, which is the genetic-background dependent effect of mutations, and the constraints it imposes on adaptation, has been contentious for decades. This question can be approached using the concept of a fitness landscape: a map of genotypes or phenotypes to fitness, which dictates the dynamics and the possible paths towards increased reproductive success. This analogy has inspired a large body of theoretical work, in which various models of fitness landscapes have been proposed and analysed. Only recently, novel experimental approaches and advances in sequencing technologies have provided us with large empirical fitness landscapes at impressive resolution, which call for the evaluation of the related theory.The aim of this proposal is to build on the theory of fitness landscapes to quantify epistasis across levels of biological organization and across environments, and to study its impact on the population genetics of adaptation and hybridization. Each work package involves classical theoretical modelling, statistical inference and method development, and data analysis and interpretation; a combination of approaches for which my research group has strong expertise. In addition, we will perform experimental evolution in Escherichia coli and influenza to test hypotheses related to the change of fitness effects across environments, and to adaptation by means of highly epistatic mutations. We will specifically apply our methods to evaluate the potential for predicting routes to drug resistance in pathogens. The long-term goal lies in the development of a modeling and inference framework that utilizes fitness landscape theory to infer the ecological history of a genome, which may ultimately allow for a prediction of its future adaptive potential.",Claudia Bank,University of Bern,Switzerland,-,804569,ERC-2018-STG,Starting Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2018,43525,45535,1366250,https://cordis.europa.eu/project/id/804569,University of Berne
